user_id,user_name,batch_no,date,ctr_notification,notification_duration,notification_conversion,notification_dropoff,notification_nps,ctr_liveclass,liveclass_duration,liveclass_conversion,liveclass_dropoff,liveclass_nps,ctr_classroom,classroom_duration,classroom_conversion,classroom_dropoff,classroom_nps,ctr_curriculum,curriculum_duration,curriculum_conversion,curriculum_dropoff,curriculum_nps,ctr_shortcourses,shortcourses_duration,shortcourses_conversion,shortcourses_dropoff,shortcourses_nps,ctr_masterclass,masterclass_duration,masterclass_conversion,masterclass_dropoff,masterclass_nps,ctr_bookmentor,bookmentor_duration,bookmentor_conversion,bookmentor_dropoff,bookmentor_nps,ctr_doubtsession,doubtsession_duration,doubtsession_conversion,doubtsession_dropoff,doubtsession_nps,ctr_assignments,assignments_duration,assignments_conversion,assignments_dropoff,assignments_nps,ctr_resources,resources_duration,resources_conversion,resources_dropoff,resources_nps,ctr_recordings,recordings_duration,recordings_conversion,recordings_dropoff,recordings_nps,ctr_codingwindow,codingwindow_duration,codingwindow_conversion,codingwindow_dropoff,codingwindow_nps,ctr_questionbank,questionbank_duration,questionbank_conversion,questionbank_dropoff,questionbank_nps,ctr_helpticket,helpticket_duration,helpticket_conversion,helpticket_dropoff,helpticket_nps,ctr_referfriend,referfriend_duration,referfriend_conversion,referfriend_dropoff,referfriend_nps
1001,User_1001,B017,2024-03-03,0.63,61.1,1,0,,0.836,74.0,0,1,,0.337,38.1,0,1,,0.037,86.0,1,0,4.0,0.172,48.4,1,0,78.0,0.281,65.3,1,0,,0.277,49.1,0,1,,0.925,117.9,1,0,,0.526,41.9,0,1,,0.54,97.2,1,0,,0.49,63.7,1,0,,0.948,76.6,0,1,8.0,0.441,81.4,1,0,5.0,0.19,43.1,1,0,,0.929,93.8,1,0,
1001,User_1001,B008,2024-03-09,0.676,38.9,1,0,,0.98,82.9,0,1,,0.861,43.5,1,0,,0.286,48.2,0,1,,0.942,110.2,1,0,,0.093,37.1,0,1,,0.064,64.6,1,0,,0.343,55.5,1,0,44.0,0.517,28.4,1,0,,0.795,13.2,0,1,,0.527,53.2,0,1,,0.192,35.7,1,0,,0.933,15.6,1,0,,0.947,60.6,0,1,,0.625,93.4,1,0,
1001,User_1001,B006,2024-03-17,0.738,45.2,0,1,,0.118,43.1,0,1,,0.262,101.7,0,1,,0.711,73.1,0,1,,0.747,92.0,1,0,36.0,0.493,109.2,1,0,,0.318,81.2,0,1,,0.523,29.4,0,1,,0.342,67.3,1,0,,0.11,40.9,1,0,,0.04,77.9,1,0,,0.037,11.9,1,0,,0.843,43.4,0,1,,0.304,20.9,1,0,,0.861,49.2,1,0,
1001,User_1001,B008,2024-03-19,0.678,33.0,0,1,,0.468,61.3,1,0,,0.642,42.5,0,1,,0.899,19.3,1,0,,0.323,33.8,0,1,,0.449,29.2,1,0,,0.099,115.1,1,0,,0.231,19.6,1,0,,0.923,116.7,1,0,,0.374,30.3,0,1,,0.514,83.8,0,1,,0.893,67.5,1,0,,0.711,91.6,1,0,,0.647,98.8,0,1,,0.225,3.9,1,0,
1001,User_1001,B012,2024-03-23,0.617,117.3,1,0,,0.762,107.4,0,1,,0.554,13.8,0,1,,0.604,42.3,1,0,,0.111,32.9,1,0,,0.899,23.6,0,1,,0.243,79.2,1,0,,0.175,42.5,0,1,,0.502,13.5,0,1,,0.79,14.2,1,0,,0.313,6.7,1,0,,0.287,11.1,0,1,,0.751,91.7,0,1,80.0,0.907,57.1,0,1,,0.346,75.1,0,1,
1001,User_1001,B020,2024-03-26,0.495,111.8,1,0,,0.267,41.5,1,0,,0.205,2.7,1,0,,0.414,92.1,1,0,,0.48,79.0,1,0,73.0,0.15,56.7,1,0,,0.355,29.8,1,0,,0.274,40.5,0,1,,0.62,63.5,0,1,,0.292,97.5,0,1,,0.655,114.0,0,1,2.0,0.566,69.7,0,1,,0.53,24.2,1,0,,0.383,69.1,1,0,,0.616,6.0,0,1,
1001,User_1001,B004,2024-03-27,0.841,1.7,0,1,,0.637,69.9,0,1,,0.135,105.5,1,0,,0.62,1.7,0,1,,0.875,92.4,0,1,,0.61,68.8,1,0,,0.863,104.2,1,0,54.0,0.977,75.0,1,0,,0.866,86.0,1,0,,0.081,87.8,0,1,,0.549,44.1,0,1,,0.248,5.7,1,0,,0.613,10.5,0,1,,0.016,100.5,1,0,,0.367,109.8,0,1,
1002,User_1002,B007,2024-03-11,0.86,17.2,0,1,,0.726,80.5,0,1,34.0,0.633,96.8,0,1,39.0,0.262,55.3,1,0,,0.099,113.7,0,1,,0.481,62.3,1,0,90.0,0.045,81.2,1,0,,0.514,31.5,1,0,,0.657,20.3,1,0,,0.37,82.3,1,0,,0.339,3.0,1,0,,0.889,98.1,1,0,,0.015,76.9,0,1,,0.391,65.0,0,1,61.0,0.466,17.6,1,0,
1002,User_1002,B015,2024-03-15,0.568,29.7,1,0,,0.77,59.2,1,0,,0.103,74.1,1,0,,0.052,109.5,0,1,,0.854,33.6,0,1,,0.315,112.6,1,0,,0.256,47.5,1,0,,0.756,61.9,1,0,,0.634,23.6,0,1,,0.486,80.2,1,0,,0.113,42.7,1,0,,0.169,96.8,0,1,,0.266,1.9,1,0,,0.572,53.0,1,0,,0.375,15.8,0,1,100.0
1002,User_1002,B005,2024-03-18,0.981,70.0,1,0,,0.671,15.4,1,0,,0.131,98.2,1,0,,0.489,81.2,0,1,,0.469,54.5,0,1,,0.729,100.3,0,1,,0.751,72.6,1,0,25.0,0.051,96.1,1,0,,0.704,103.1,1,0,95.0,0.195,112.9,0,1,,0.814,77.5,1,0,,0.213,55.2,0,1,,0.651,40.0,0,1,58.0,0.737,99.8,1,0,,0.862,76.8,1,0,
